Concat,Alkalinity,Calcium,Chloride,Copper,DOC,Hardness,Magnesium,pH,Potassium,Sodium,Sulfate,Temperature,New_Total,Category5,Field16,Analyte_count,Field18,StationName,StationCode,SampleDate,TargetLatitude,TargetLongitude,Program,ParentProject,Project,Data_Source,NearStream_Distance,Stream_Name,HUC8_Name
CEDENAquatic Pesticide Monitoring ProgramAquatic Pesticide Monitoring ProgramD-0137818,Alkalinity,,,,,Hardness,,,,,,,2,0,,2,,Doris Drain-D-01,D-01,7/16/2003 0:00,34.208649,-119.2381668,Aquatic Pesticide Monitoring Program,Aquatic Pesticide Monitoring Program,2003 Aquatic Pesticide Monitoring Program,CEDEN,507.9247998,,Calleguas
CEDENAquatic Pesticide Monitoring ProgramAquatic Pesticide Monitoring ProgramD-0137819,,,,,,Hardness,,,,,,,1,0,,1,,Doris Drain-D-01,D-01,7/17/2003 0:00,34.208649,-119.2381668,Aquatic Pesticide Monitoring Program,Aquatic Pesticide Monitoring Program,2003 Aquatic Pesticide Monitoring Program,CEDEN,507.9247998,,Calleguas
CEDENAquatic Pesticide Monitoring ProgramAquatic Pesticide Monitoring ProgramD-0137820,,,,,,Hardness,,,,,,,1,0,,1,,Doris Drain-D-01,D-01,7/18/2003 0:00,34.208649,-119.2381668,Aquatic Pesticide Monitoring Program,Aquatic Pesticide Monitoring Program,2003 Aquatic Pesticide Monitoring Program,CEDEN,507.9247998,,Calleguas
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365442694,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Inlet,43654,11/20/2016 0:00,34.148602,-118.3730011,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,73.4028033,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365442719,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Inlet,43654,12/15/2016 0:00,34.148602,-118.3730011,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,73.4028033,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365442744,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Inlet,43654,1/9/2017 0:00,34.148602,-118.3730011,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2016-2017,CEDEN,73.4028033,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365443161,,,,Copper,,Hardness,,pH,,,,Temperature,4,3,,4,,North Hollywood CSF Inlet,43654,3/2/2018 0:00,34.148602,-118.3730011,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,73.4028033,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365443169,,,,Copper,,Hardness,,pH,,,,Temperature,4,3,,4,,North Hollywood CSF Inlet,43654,3/10/2018 0:00,34.148602,-118.3730011,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,73.4028033,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365443180,,,,,,,,pH,,,,Temperature,2,1,,2,,North Hollywood CSF Inlet,43654,3/21/2018 0:00,34.148602,-118.3730011,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,73.4028033,Central Branch Tujunga Wash,Los Angeles
CEDENCalifornia Department of Transportation NPDES PermitCA Dept of Transit NPDES Monitoring 2014-20154365443182,,,,Copper,,Hardness,,,,,,,2,0,,2,,North Hollywood CSF Inlet,43654,3/23/2018 0:00,34.148602,-118.3730011,California Department of Transportation NPDES Permit,CA Dept of Transit NPDES Monitoring 2014-2015,CA Dept of Transit NPDES Monitoring 2017-2018,CEDEN,73.4028033,Central Branch Tujunga Wash,Los Angeles
